BodyPartId,DisplayName,BodyLevel,BodySlot,RaceId,ControlPowerCost,SpiritCost,StatBonus,AutoConvert,Description,ArtAssetId,IsPrimaryHand,ClassRestrict,BodyPrimaryStat
BP_Arm_Human_BombMaster,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,炸弹师,Art_BP_Arm_Undead_BombMaster,1,Class_BombMaster,Agility
BP_Arm_Human_IceMage,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,冰法,Art_BP_Arm_Undead_IceMage,1,Class_IceMage,Intelligence
BP_Arm_Human_Brawler,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,格斗师,Art_BP_Arm_Undead_Brawler,1,Class_Brawler,Strength
BP_Arm_Human_Berserker,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,狂战士,Art_BP_Arm_Undead_Berserker,1,Class_Berserker,Strength
BP_Arm_Human_Longbowman,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,长弓手,Art_BP_Arm_Undead_Longbowman,1,Class_Longbowman,Agility
BP_Arm_Human_FireMage,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,火法,Art_BP_Arm_Undead_FireMage,1,Class_FireMage,Intelligence
BP_Arm_Human_Shadowblade,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,影刃,Art_BP_Arm_Undead_Shadowblade,1,Class_Shadowblade,Intelligence
BP_Head_Human_2,人类头部,3,Head,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Head_Human_2,0,,Strength
BP_Torso_Human_2,人类躯干,3,Torso,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Torso_Human_2,0,,Strength
BP_Arm_Human_2,人类手臂,3,Arm,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Arm_Human_2,0,,Agility
BP_Leg_Human_2,人类腿部,3,Leg,Race_Human,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Leg_Human_2,0,,Intelligence
BP_Arm_Elf_Guardian,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,近卫,Art_BP_Arm_Undead_Guardian,1,Class_Guardian,Strength
BP_Arm_Elf_BombMaster,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,炸弹师,Art_BP_Arm_Undead_BombMaster,1,Class_BombMaster,Agility
BP_Arm_Elf_IceMage,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,冰法,Art_BP_Arm_Undead_IceMage,1,Class_IceMage,Intelligence
BP_Arm_Elf_Brawler,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,格斗师,Art_BP_Arm_Undead_Brawler,1,Class_Brawler,Strength
BP_Arm_Elf_Berserker,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,狂战士,Art_BP_Arm_Undead_Berserker,1,Class_Berserker,Strength
BP_Arm_Elf_Longbowman,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,长弓手,Art_BP_Arm_Undead_Longbowman,1,Class_Longbowman,Agility
BP_Arm_Elf_FireMage,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,火法,Art_BP_Arm_Undead_FireMage,1,Class_FireMage,Intelligence
BP_Arm_Elf_Shadowblade,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,影刃,Art_BP_Arm_Undead_Shadowblade,1,Class_Shadowblade,Intelligence
BP_Head_Elf_2,精灵头部,3,Head,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Head_Elf_2,0,,Strength
BP_Torso_Elf_2,精灵躯干,3,Torso,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Torso_Elf_2,0,,Strength
BP_Arm_Elf_2,精灵手臂,3,Arm,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Arm_Elf_2,0,,Agility
BP_Leg_Elf_2,精灵腿部,3,Leg,Race_Elf,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Leg_Elf_2,0,,Intelligence
BP_Arm_Orc_Guardian,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,近卫,Art_BP_Arm_Undead_Guardian,1,Class_Guardian,Strength
BP_Arm_Orc_BombMaster,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,炸弹师,Art_BP_Arm_Undead_BombMaster,1,Class_BombMaster,Agility
BP_Arm_Orc_IceMage,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,冰法,Art_BP_Arm_Undead_IceMage,1,Class_IceMage,Intelligence
BP_Arm_Orc_Brawler,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,格斗师,Art_BP_Arm_Undead_Brawler,1,Class_Brawler,Strength
BP_Arm_Orc_Berserker,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,狂战士,Art_BP_Arm_Undead_Berserker,1,Class_Berserker,Strength
BP_Arm_Orc_Longbowman,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,长弓手,Art_BP_Arm_Undead_Longbowman,1,Class_Longbowman,Agility
BP_Arm_Orc_FireMage,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,火法,Art_BP_Arm_Undead_FireMage,1,Class_FireMage,Intelligence
BP_Arm_Orc_Shadowblade,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,影刃,Art_BP_Arm_Undead_Shadowblade,1,Class_Shadowblade,Intelligence
BP_Head_Orc_2,兽人头部,3,Head,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Head_Orc_2,0,,Strength
BP_Torso_Orc_2,兽人躯干,3,Torso,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Torso_Orc_2,0,,Strength
BP_Arm_Orc_2,兽人手臂,3,Arm,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Arm_Orc_2,0,,Agility
BP_Leg_Orc_2,兽人腿部,3,Leg,Race_Orc,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Leg_Orc_2,0,,Intelligence
