ConstantKey,ConstantKeyZh,Value,Comment,CommentZh
SearchExtractHoldObjectiveBias,守点中心偏向,0.65,"look-at = lerp(soldier center, Objective, bias); 1=pin Objective","look-at = lerp(士兵中心, Objective, bias)；1=钉 Objective"
SearchExtractDecisionIdleDelaySeconds,决策停步延迟秒,1,UI-032 show then delay before loyal MassMove pause + Idle,UI-032 弹出后忠诚兵延迟停步并 Idle（任意搜集点数）
SearchExtractDecisionAutoLeaveSeconds,单点自动离开秒,3,Only GatherPointCount=1: LeaveButton countdown then auto-Leave,仅 GatherPointCount=1 时 LeaveButton 倒计时后自动 Leave
OffScreenSpawnHintIntroBlinkSeconds,离屏来袭开场闪红秒,0.4,UI-034: intro red-blink window seconds,UI-034：开场闪红总时长秒
OffScreenSpawnHintIntroBlinkCount,离屏来袭开场闪红次数,2,UI-034: red blink count inside intro window,UI-034：开场窗口内闪红次数
OffScreenSpawnHintHoldSeconds,离屏来袭常亮秒,2,UI-034: solid white hold seconds after intro blink,UI-034：闪红后常亮秒数
OffScreenSpawnHintDisplayScale,离屏来袭显示缩放,1.3,UI-034: icon localScale while visible,UI-034：显示期间图标 localScale
OffScreenSpawnHintEdgeMarginPx,离屏来袭边距像素,48,UI-034: icon center margin from screen edge (ref 1920x1080 px),UI-034：图标中心距参考分辨率屏幕边的像素边距
OffScreenSpawnHintIconSizePx,离屏来袭图标边长,72,UI-034: EnemyAttack_1 sizeDelta edge (ref 1920x1080),UI-034：EnemyAttack_1 sizeDelta 边长（参考 1920×1080）
DigTriggerDwellSeconds,挖坟触发停留,0.2,Cursor dwell before DigAction starts,光标与可挖坟相交并停留达到本秒数后触发DigAction
BaseDigDuration,挖坟基础时长,0.8,BaseDigDuration seconds,DigActionDuration=max(下限
DigActionDurationFloor,挖坟最短时长,0.1,Min DigActionDuration seconds,单次挖坟最短秒数（公式地板）
AttackSlotMeleeCount,近战攻击位数量,12,Melee AttackSlot ring slot count,近战单位围绕目标可占用的攻击位数量
AttackSlotRangedCount,远程攻击位数量,8,Ranged AttackSlot ring slot count,远程单位围绕目标可占用的攻击位数量
AttackSlotMargin,攻击位环半径余量,0.05,Ring radius = reach sum - margin,攻击位环半径计算时从可达距离减去的余量
AttackSlotMinRingRadius,攻击位环最小半径,0.05,Min AttackSlot ring radius,攻击位环半径下限
AttackSlotReclaimMoveThreshold,攻击位重算位移阈值,0.5,Target move distance to recompute slots,目标移动超过本距离时重算攻击位
AttackSlotDefaultTargetBodyRadius,默认目标体半径,0.35,Fallback target BodyRadius,缺体外观/怪物半径时的默认目标体半径
HitConfirmSlack,命中确认松弛距离,0.05,HitConfirm range slack,前摇结束命中确认时在攻击距离上额外允许的松弛
SurroundGapDegrees,包围缺口角度,60,Surround gap sector degrees,近战多打一时攻击位环上预留的缺口扇区角度
StuckDetectWindowSeconds,卡死检测窗口,0.5,StuckHold detect window seconds,有移动意图但位移不足时的检测窗口秒数
StuckDisplacementEpsilon,卡死位移阈值,0.2,StuckHold displacement epsilon,检测窗口内XZ位移小于本值则判定卡住
StuckHoldSeconds,卡死停顿时长,1,StuckHold force-Idle seconds,判定卡住后强制Idle的秒数
ProjectileDefaultHitRadius,投射物默认命中半径,0.55,Default projectile soft-hit radius,远程投射物默认软命中半径（表缺列时兜底）
DefendVictoryStageExp,防守胜利阶段经验,100,Defend victory Demo stage Exp,Defend清场胜利结算时入账的阶段经验
FlowFieldDefaultCellSize,流场默认格宽,0.5,FlowField default cell size,共享目标流场默认格子边长
FlowFieldMinCellSize,流场最小格宽,0.25,FlowField min cell size,流场格宽下限（性能降级时可抬高）
FlowFieldMaxCellSize,流场最大格宽,0.5,FlowField max cell size,流场格宽上限
MassMoveMaxRecalcPerFrame,群体移动每帧重算上限,50,MassMove/AttackSlot refresh budget per frame,每帧最多重算路径/攻击位的单位数
MassMoveDefaultAgentRadius,群体移动默认体半径,0.1,Default mass-move agent radius,群体移动登记时的默认体半径
MassMoveArriveEpsilon,群体移动到达阈值,0.08,Arrive epsilon for DesiredDestination,到达期望点判定的距离阈值
MassMoveDefaultObjectiveArriveRadius,目标到达默认半径,2,Default Objective arrive radius,目标点到达半径默认值（可被CaptureZone覆盖）
MassMoveAttackSlotSeparationScale,攻击位软分离系数,0.35,LocalDetour separation scale in AttackSlot,处于攻击位气泡时LocalDetour软分离缩放
SoftCollisionMaxCorrectionSpeed,软碰撞最大修正速度,2,Soft collision max correction speed,软碰撞位置修正速度上限（单位/秒）
LocalDetourProbeLength,本地绕行探测长度,1,LocalDetour L/R probe length,左右绕行探测射线长度
LocalDetourSoftSeparationStrength,本地绕行软分离强度,0.15,LocalDetour soft separation strength,友军软分离推力强度
LocalDetourDetourBias,本地绕行偏置,0.85,LocalDetour L/R bias blend,绕行方向与原期望方向的混合偏置
LocalDetourForwardConeHalfAngleDeg,本地绕行前向锥半角,50,Forward block cone half-angle degrees,判定前方友军阻挡的圆锥半角（度）
BossAdvanceArriveRadius,Boss推进到达半径,0.35,BossPoint advance arrive radius,目标链耗尽后推进Boss点的到达半径
EngageStickHysteresisMargin,接战粘滞余量,0.15,Engage sticky retarget hysteresis,接战粘滞：新目标需更近超过本余量才换目标
ChaseStuckRetargetSeconds,追击卡住换目标秒数,1,Chase out-of-range stuck force-retarget window seconds,追击未进距且位移不足达本秒→强制换目标（排除当前/绕过粘滞）
ChaseStuckRetargetCooldownSeconds,追击卡住换目标冷却,1,Cooldown after chase-stuck force retarget,强制换目标后冷却，防A↔B来回甩
PushMapSpawnMinSampleDistance,刷怪散布最小采样距,0.75,PushMap spawn min sample distance,刷怪散布环形采样的最小间距
PushMapSpawnSampleDistanceBodyMul,刷怪散布体半径倍数,2.5,Spawn sample distance = max(min,r*mul)
PushMapSpawnLeashSlack,刷怪拴绳松弛,0.35,NavMesh sample leash slack,刷怪SamplePosition相对基点的拴绳松弛
PushMapSpawnAbsoluteLeashFloor,刷怪绝对拴绳下限,3,Absolute leash floor,刷怪绝对拴绳距离下限
PushMapSpawnAbsoluteLeashBodyMul,刷怪绝对拴绳体倍数,10,Absolute leash = max(floor,r*mul)
DeathKnockbackRatioCoeff,死亡击飞比例系数,3,Knockback raw=(MaxHp/OutgoingDamage)*Coeff,击飞距离raw=(OutgoingDamage/MaxHp)×本系数；再clamp到Min/Max
DeathKnockbackMinDistance,死亡击飞最小距离,0.5,Death knockback distance floor,怪物死亡击飞距离下限（世界单位）
DeathKnockbackMaxDistance,死亡击飞最大距离,2,Death knockback distance ceiling,怪物死亡击飞距离上限；伤害或MaxHp<=0时用本值
DeathDie2KnockbackThreshold,死亡Die2击退阈值,0.2,Default Die2; knockback distance>=threshold plays Die; else Die2 (no Die2 falls back to Die),默认Die2；击飞distance>=本值时播Die；否则Die2（无Die2回退Die）
DeathKnockbackDirectionSpreadHalfDegrees,死亡击飞方向半角扩散,30,Max yaw offset each side from base knockback direction (degrees),以基准击飞方向为中轴左右各允许的最大偏角（度）；<=0关闭随机
DeathKnockbackDirectionRandomStepDegrees,死亡击飞方向随机步进,5,Knockback yaw random granularity (degrees); offset=k*step,击飞偏角随机粒度（度）；offset=k×本值；<=0关闭随机
DeathKnockbackPeakHeight,死亡击飞抛物线峰值高度,6,Corpse projectile Y arc peak (world units),尸体投射Y弧峰值（世界单位；§15.5）
DeathCorpseSmashDamageMul,尸体砸击伤害系数,0.01,CorpseSmashDamage = killerOutgoingDamage × this,尸体砸击伤害=致命击OutgoingDamage×本值（§15.5/D-083）
DeathCorpseSmashHitRadius,尸体砸击命中半径,0.55,In-flight/landing soft-hit radius,飞行/落地软碰撞半径；缺省对齐ProjectileDefaultHitRadius
DeathKnockbackSeconds,死亡击飞时长,0.8,Corpse projectile parabolic duration (seconds),尸体投射抛物线时长（秒；与t∈[0
DeathKnockbackShadowAlphaMul,击飞腾空地面黑影透明度,0.6,Ground shadow alpha during corpse parabolic flight (0-1),尸体抛物线腾空阶段地面黑影alpha（0~1；§15.5）
DeathKnockbackShadowScaleMin,击飞腾空地面黑影最小缩放,0.35,Min shadow diameter scale at ground height (0-1),离地时黑影直径相对满缩放的最小系数（0~1；随高度lerp至1）
DeathKnockbackShadowBaseRadiusMul,击飞腾空地面黑影基准半径倍率,1,At peak height: diameter=BodyRadius×2×this×scaleMul,峰值高度时黑影直径=BodyRadius×2×本值×scaleMul
DeathDefendCorpseAlphaMul,Defend尸体透明度系数,0.85,Defend corpse sprite alpha multiplier,Defend怪/士兵尸体透明度×本值
DeathCorpseDarkenMul,尸体变暗系数,0.4,Permanent-death corpse RGB multiplier,彻底死亡/PushMap士兵尸体RGB×本值
DeathFakeDeathCorpseDarkenMul,假死尸体变暗系数,0.7,PushMap fake-death corpse RGB multiplier,PushMap假死尸体RGB×本值
WarriorVisualModelScalePerHit,士兵命中体型步进,2,Mode2 MagicBook token hit: VisualModelScale *= this (stackable),Mode2魔法书Token命中时VisualModelScale乘以本值（可叠；夹Max）
WarriorVisualModelScaleMax,士兵模型缩放上限,12,Clamp VisualModelScale at end of each MagicBook hit apply,VisualModelScale每次命中apply末尾夹紧上限
AutoMfgBodyDropIntervalSeconds,自动制造尸骸落下间隔,0.3,Seconds between body-rain drop batches,UI-016 StepA：每批次掉落间隔秒
AutoMfgDropCountMin,自动制造尸骸每批最少,3,Min pieces per drop batch,StepA 每间隔随机落下件数下限
AutoMfgDropCountMax,自动制造尸骸每批最多,5,Max pieces per drop batch,StepA 每间隔随机落下件数上限
AutoMfgGravityScale,自动制造尸骸重力,2,Rigidbody2D gravityScale for body pieces,Rigidbody2D.gravityScale
AutoMfgBounciness,自动制造尸骸弹性,0.15,PhysicsMaterial2D bounciness,PhysicsMaterial2D.bounciness
AutoMfgFriction,自动制造尸骸摩擦,0.4,PhysicsMaterial2D friction,PhysicsMaterial2D.friction
AutoMfgColliderInset,自动制造尸骸碰撞内缩,0.45,OBB edge vs fitted sprite size (<1 lets slanted pieces nest),OBB 边长相对 Sprite 适配尺寸的比例（<1 使斜角更紧）
AutoMfgSpawnAngleMaxDeg,自动制造尸骸落下转角,50,Max abs spawn Z yaw (deg); also scales initial angular velocity,落下随机 Z 转角绝对值上限（度）；并作初始角速度尺度
AutoMfgSpawnJitterXPx,自动制造尸骸水平微扰,40,Random spawn X jitter in ref pixels,落点相对屏幕中心 X 微扰
AutoMfgMagicCircleFlashHz,自动制造法阵闪红频率,8,Magic circle red flash Hz during StepB,StepB 法阵红色闪烁 Hz
AutoMfgMagicCircleYPx,自动制造法阵本地 Y,-50,MagicCircle anchoredPosition.y vs AmBodyRainLayer,MagicCircle 相对 AmBodyRainLayer 的 anchoredPosition.y
AutoMfgBodyRainLayerYPx,自动制造尸骸雨层本地 Y,-340,AmBodyRainLayer anchoredPosition.y vs PresentationRoot,AmBodyRainLayer 相对 PresentationRoot 的 anchoredPosition.y
AutoMfgReviveSpawnOffsetYPx,自动制造复活出生上偏移,400,Revive spawn Y offset from pile base px,问号/士兵出生相对堆底向上像素
AutoMfgPileFloorYPx,自动制造尸骸堆地板 Y,0,Body pile floor Y in ref pixels,2D 演出层堆地板相对屏幕中心 Y
AutoMfgSoldierLandYPx,自动制造士兵落地 Y,300,Revived soldier idle land Y px,复活士兵落地相对屏幕中心 Y
AutoMfgBodyMaxEdgePx,自动制造躯体适配边长,49,StepA body Image max edge px (~35% of prior 140),StepA 躯体 Image 最长边像素（约原 140 的 35%）
AutoMfgSoldierMaxEdgePx,自动制造士兵固定边长,64,StepB mystery/soldier Image sizeDelta W/H,StepB 问号/士兵 Image sizeDelta 宽高（再 × VisualScale）
AutoMfgSoldierShadowWidthPx,自动制造士兵影子宽,20,Oval foot-shadow width ref px,复活件脚下椭圆影子宽（参考像素）
AutoMfgSoldierShadowHeightPx,自动制造士兵影子高,8,Oval foot-shadow height ref px,复活件脚下椭圆影子高（参考像素）
AutoMfgSoldierShadowAlpha,自动制造士兵影子透明度,0,Foot-shadow black Alpha 0-1; 0=Demo hide,脚下影子黑色 Alpha（0～1；0=Demo 隐藏）
AutoMfgUseLegacySoldierRow,自动制造旧士兵行开关,0,1=legacy SoldierScroll conveyor,1=显示中央传送带旧流程；0=尸骸雨默认
AutoMfgSoldierVisualScale,自动制造士兵视觉缩放,8,Revive piece localScale XYZ,复活件 localScale（XYZ）
AutoMfgSoldierPitchFactor,自动制造士兵行间距系数,0.5,StepB row pitch = MaxEdge x VisualScale x Factor,StepB 行间距=MaxEdge×VisualScale×本值（样例0.5→256）
AutoMfgSoldierShadowOffsetYPx,自动制造士兵影子相对 Y,-32,Shadow local Y vs soldier feet (bottom pivot),影子相对士兵脚底（底部 pivot）的本地 Y
AutoMfgBodyAngleMaxDeg,自动制造躯体绝对转角上限,270,Clamp body Z angle abs deg; zero omega at limit,躯体 Z 转角夹紧 ±本值；触限清角速度
