SkillId,SkillLevel,CooldownMode,CastTarget,ExtraActivationCondition,DisplayName,Description,IconAssetId,SkillEffectId,BaseCooldownSeconds,LossOfControlChanceBonus,EffectImplemented
Skill_05,3,Mode2,Self,敌人的本次攻击导致Self死亡,坚挺,士兵自身生命值强制变为1点血，并无敌3秒钟,Skill_05,SkillEffect_05_3,60,0,1
Skill_05,4,Mode2,Self,敌人的本次攻击导致Self死亡,坚挺,士兵自身生命值强制变为1点血，并无敌4秒钟,Skill_05,SkillEffect_05_4,60,0,1
Skill_05,5,Mode2,Self,敌人的本次攻击导致Self死亡,坚挺,士兵自身生命值强制变为1点血，并无敌5秒钟,Skill_05,SkillEffect_05_5,60,0,1
Skill_06,1,Mode2,GroundPoint,士兵普攻命中敌人,震晕,有10%的概率对目标敌人以及半径1.5范围内的所有敌人产生“击晕”1秒（“击晕”生效的时间内，无法攻击和移动）,Skill_06,SkillEffect_06_1,0,0,1
Skill_06,2,Mode2,GroundPoint,士兵普攻命中敌人,震晕,有10%的概率对目标敌人以及半径1.5范围内的所有敌人产生“击晕”2秒（“击晕”生效的时间内，无法攻击和移动）,Skill_06,SkillEffect_06_2,0,0,1
Skill_06,3,Mode2,GroundPoint,士兵普攻命中敌人,震晕,有10%的概率对目标敌人以及半径1.5范围内的所有敌人产生“击晕”3秒（“击晕”生效的时间内，无法攻击和移动）,Skill_06,SkillEffect_06_3,0,0,1
Skill_06,4,Mode2,GroundPoint,士兵普攻命中敌人,震晕,有10%的概率对目标敌人以及半径1.5范围内的所有敌人产生“击晕”4秒（“击晕”生效的时间内，无法攻击和移动）,Skill_06,SkillEffect_06_4,0,0,1
Skill_06,5,Mode2,GroundPoint,士兵普攻命中敌人,震晕,有10%的概率对目标敌人以及半径1.5范围内的所有敌人产生“击晕”5秒（“击晕”生效的时间内，无法攻击和移动）,Skill_06,SkillEffect_06_5,0,0,1
Skill_07,1,Mode2,GroundPoint,,冰冻,普攻命中的敌人后，此敌人半径1.5范围内的所有敌人攻击和移动速度降低50%，持续2秒,Skill_07,SkillEffect_07_1,10,0,1
Skill_07,2,Mode2,GroundPoint,,冰冻,普攻命中的敌人后，此敌人半径1.5范围内的所有敌人攻击和移动速度降低50%，持续3秒,Skill_07,SkillEffect_07_2,10,0,1
Skill_07,3,Mode2,GroundPoint,,冰冻,普攻命中的敌人后，此敌人半径1.5范围内的所有敌人攻击和移动速度降低50%，持续4秒,Skill_07,SkillEffect_07_3,10,0,1
Skill_07,4,Mode2,GroundPoint,,冰冻,普攻命中的敌人后，此敌人半径1.5范围内的所有敌人攻击和移动速度降低50%，持续5秒,Skill_07,SkillEffect_07_4,10,0,1
Skill_07,5,Mode2,GroundPoint,,冰冻,普攻命中的敌人后，此敌人半径1.5范围内的所有敌人攻击和移动速度降低50%，持续6秒,Skill_07,SkillEffect_07_5,10,0,1
Skill_08,1,Mode2,EnemySingle,目标敌人的MonsterType是精英(Elite),精英克制,攻击的伤害增加50%,Skill_08,SkillEffect_08_1,0,0,1
Skill_08,2,Mode2,EnemySingle,目标敌人的MonsterType是精英(Elite),精英克制,攻击的伤害增加60%,Skill_08,SkillEffect_08_2,0,0,1
Skill_08,3,Mode2,EnemySingle,目标敌人的MonsterType是精英(Elite),精英克制,攻击的伤害增加70%,Skill_08,SkillEffect_08_3,0,0,1
Skill_08,4,Mode2,EnemySingle,目标敌人的MonsterType是精英(Elite),精英克制,攻击的伤害增加80%,Skill_08,SkillEffect_08_4,0,0,1
Skill_08,5,Mode2,EnemySingle,目标敌人的MonsterType是精英(Elite),精英克制,攻击的伤害增加90%,Skill_08,SkillEffect_08_5,0,0,1
Skill_09,1,Mode2,Self,,渐入佳境,攻击增加3%，可以叠加效果，最大叠加到60%,Skill_09,SkillEffect_09_1,10,0,1
Skill_09,2,Mode2,Self,,渐入佳境,攻击增加5%，可以叠加效果，最大叠加到60%,Skill_09,SkillEffect_09_2,10,0,1
Skill_09,3,Mode2,Self,,渐入佳境,攻击增加7%，可以叠加效果，最大叠加到60%,Skill_09,SkillEffect_09_3,10,0,1
Skill_09,4,Mode2,Self,,渐入佳境,攻击增加9%，可以叠加效果，最大叠加到60%,Skill_09,SkillEffect_09_4,10,0,1
Skill_09,5,Mode2,Self,,渐入佳境,攻击增加12%，可以叠加效果，最大叠加到60%,Skill_09,SkillEffect_09_5,10,0,1
Skill_10,1,Mode2,EnemySingle,,贯穿,发射的箭矢命中1名敌人后，子弹不会消失，可以继续飞行，命中下1名敌人，造成100%的伤害,Skill_10,SkillEffect_10_1,0,0,1
Skill_10,2,Mode2,EnemySingle,,贯穿,发射的箭矢命中1名敌人后，子弹不会消失，可以继续飞行，命中下2名敌人，造成100%的伤害,Skill_10,SkillEffect_10_2,0,0,1
Skill_10,3,Mode2,EnemySingle,,贯穿,发射的箭矢命中1名敌人后，子弹不会消失，可以继续飞行，命中下3名敌人，造成100%的伤害,Skill_10,SkillEffect_10_3,0,0,1
Skill_10,4,Mode2,EnemySingle,,贯穿,发射的箭矢命中1名敌人后，子弹不会消失，可以继续飞行，命中下4名敌人，造成100%的伤害,Skill_10,SkillEffect_10_4,0,0,1
Skill_10,5,Mode2,EnemySingle,,贯穿,发射的箭矢命中1名敌人后，子弹不会消失，可以继续飞行，命中下5名敌人，造成100%的伤害,Skill_10,SkillEffect_10_5,0,0,1
Skill_11,1,Mode2,GroundPoint,,灼烧,普攻命中的敌人施加“灼烧“效果（每1秒造成自身普攻20%伤害的伤害，持续2秒，再次施加“灼烧”则叠加灼烧的时间）,Skill_11,SkillEffect_11_1,0,0,1
Skill_11,2,Mode2,GroundPoint,,灼烧,普攻命中的敌人施加“灼烧“效果（每1秒造成自身普攻20%伤害的伤害，持续3秒，再次施加“灼烧”则叠加灼烧的时间）,Skill_11,SkillEffect_11_2,0,0,1
Skill_11,3,Mode2,GroundPoint,,灼烧,普攻命中的敌人施加“灼烧“效果（每1秒造成自身普攻20%伤害的伤害，持续4秒，再次施加“灼烧”则叠加灼烧的时间）,Skill_11,SkillEffect_11_3,0,0,1
Skill_11,4,Mode2,GroundPoint,,灼烧,普攻命中的敌人施加“灼烧“效果（每1秒造成自身普攻20%伤害的伤害，持续5秒，再次施加“灼烧”则叠加灼烧的时间）,Skill_11,SkillEffect_11_4,0,0,1
Skill_11,5,Mode2,GroundPoint,,灼烧,普攻命中的敌人施加“灼烧“效果（每1秒造成自身普攻20%伤害的伤害，持续6秒，再次施加“灼烧”则叠加灼烧的时间）,Skill_11,SkillEffect_11_5,0,0,1
Skill_12,1,Mode2,EnemySingle,当开始寻找新的攻击目标,瞬移,更换选择的目标为“距离自己最远的敌人”，目标确定后“瞬移”到该敌人的背后,Skill_12,SkillEffect_12_1,60,0,1
Skill_12,2,Mode2,EnemySingle,当开始寻找新的攻击目标,瞬移,更换选择的目标为“距离自己最远的敌人”，目标确定后“瞬移”到该敌人的背后,Skill_12,SkillEffect_12_2,50,0,1
Skill_12,3,Mode2,EnemySingle,当开始寻找新的攻击目标,瞬移,更换选择的目标为“距离自己最远的敌人”，目标确定后“瞬移”到该敌人的背后,Skill_12,SkillEffect_12_3,40,0,1
Skill_12,4,Mode2,EnemySingle,当开始寻找新的攻击目标,瞬移,更换选择的目标为“距离自己最远的敌人”，目标确定后“瞬移”到该敌人的背后,Skill_12,SkillEffect_12_4,30,0,1
Skill_12,5,Mode2,EnemySingle,当开始寻找新的攻击目标,瞬移,更换选择的目标为“距离自己最远的敌人”，目标确定后“瞬移”到该敌人的背后,Skill_12,SkillEffect_12_5,20,0,1
