GameplayOptionId,GameplayType,GameplayConfigId,GatherPointCount,GatherPointRewards,IconAssetId,IconAssetId2,TipMessages,Title,Description,Reward,UnlockNextOptionIds,,,,,,
L03_S5_Dig_2,Dig,Dig_02,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线B）,进阶挖坟 Dig_02,,L03_S6_Dig_2,,,,,,
L03_S5_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L03_S6_Dig_3,,,,,,
L03_S6_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L03_S7_AutoManufacture_1,,,,,,
L03_S6_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L03_S7_AutoManufacture_1|L03_S7_AutoManufacture_2,,,,,,
L03_S6_Dig_3,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L03_S7_AutoManufacture_2,,,,,,
L03_S7_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L03_S8_Shop_1,,,,,,
L03_S7_AutoManufacture_2,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L03_S8_SE_01,,,,,,
L03_S8_Shop_1,Shop,,,,MapIcon_Shop_1,MapIcon_Shop_2,,商店,商店（—）,,L03_S9_Dig_1,,,,,,
L03_S8_SE_01,SearchExtract,SearchExtract_01,2,1:Spirit;10|2:Spirit;20,MapIcon_Battle_1,MapIcon_Battle_2,,搜打撤,搜打撤样例 SearchExtract_01,Spirit;20,L03_S9_Dig_2,,,,,,
L03_S9_Dig_1,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;3|Wreck;-2|Warrior;2,挖坟（路线A）,标准挖坟 Dig_01,,L03_S10_AutoManufacture_1,,,,,,
L03_S9_Dig_2,Dig,Dig_01,,,MapIcon_Mixed_1,,Spirit;2|Wreck;-1|Mage;1,挖坟（路线A）,标准挖坟 Dig_01,,L03_S10_AutoManufacture_1,,,,,,
L03_S10_AutoManufacture_1,AutoManufacture,,,,MapIcon_AutoManufacture_1,MapIcon_AutoManufacture_2,,自动制造,自动制造（—）,,L03_S11_PushMap,,,,,,
L03_S11_PushMap,PushMap,PushMap_03,,,MapIcon_Boss_1,MapIcon_Boss_2,,推图战,BOSS推图战,Spirit;20,,,,,,,
